max distance,Trial Number, Time Step, Mean Correct Belief (All) 
30,0,50,0.94666666
30,0,100,0.9533333
30,0,150,0.96
30,0,200,0.96666664
30,0,250,0.96666664
30,0,300,0.96666664
30,0,350,0.96666664
30,0,400,0.96666664
30,0,450,0.96666664
30,0,500,0.96666664
30,0,550,0.96666664
30,0,600,0.96666664
30,0,650,0.96666664
30,0,700,0.96666664
30,0,750,0.97333336
30,0,800,0.97333336
30,0,850,0.97333336
30,0,900,0.98
30,0,950,0.98
30,0,1000,0.98
30,0,1050,0.98
30,0,1100,0.98
30,0,1150,0.98
30,0,1200,0.98
30,0,1250,0.9866667
30,0,1300,0.9866667
30,0,1350,0.9866667
30,0,1400,0.9866667
30,0,1450,0.99333334
30,0,1500,0.99333334
30,0,1550,0.99333334
30,0,1600,0.99333334
30,0,1650,0.9866667
30,0,1700,0.9866667
30,0,1750,0.9866667
30,0,1800,0.9866667
30,0,1850,0.9866667
30,0,1900,0.9866667
30,0,1950,0.9866667
30,0,2000,0.9866667
30,0,2050,0.9866667
30,0,2100,0.9866667
30,0,2150,0.9866667
30,0,2200,0.99333334
30,0,2250,0.99333334
30,0,2300,0.99333334
30,0,2350,0.99333334
30,0,2400,0.99333334
30,0,2450,0.99333334
30,0,2500,0.99333334
30,0,2550,0.99333334
30,0,2600,0.99333334
30,0,2650,0.99333334
30,0,2700,0.99333334
30,0,2750,0.99333334
30,0,2800,0.99333334
30,0,2850,0.99333334
30,0,2900,0.99333334
30,0,2950,0.99333334
30,0,3000,0.99333334
30,0,3050,0.99333334
30,0,3100,1
30,0,3150,1
30,0,3200,1
30,0,3250,1
30,0,3300,1
30,0,3350,1
30,0,3400,1
30,0,3450,1
30,0,3500,1
30,0,3550,1
30,0,3600,1
30,0,3650,1
30,0,3700,1
30,0,3750,1
30,0,3800,1
30,0,3850,1
30,0,3900,1
30,0,3950,1
30,0,4000,1
30,0,4050,1
30,0,4100,1
30,0,4150,1
30,0,4200,1
30,0,4250,1
30,0,4300,1
30,0,4350,1
30,0,4400,1
30,0,4450,1
30,0,4500,1
30,0,4550,1
30,0,4600,1
30,0,4650,1
30,0,4700,1
30,0,4750,1
30,0,4800,1
30,0,4850,1
30,0,4900,1
30,0,4950,1
30,0,5000,1
30,1,50,0.91333336
30,1,100,0.93333334
30,1,150,0.9533333
30,1,200,0.96
30,1,250,0.96
30,1,300,0.96
30,1,350,0.96
30,1,400,0.96
30,1,450,0.96
30,1,500,0.97333336
30,1,550,0.97333336
30,1,600,0.97333336
30,1,650,0.97333336
30,1,700,0.98
30,1,750,0.98
30,1,800,0.9866667
30,1,850,0.9866667
30,1,900,0.9866667
30,1,950,0.9866667
30,1,1000,0.9866667
30,1,1050,0.9866667
30,1,1100,0.99333334
30,1,1150,0.99333334
30,1,1200,0.99333334
30,1,1250,0.99333334
30,1,1300,0.99333334
30,1,1350,0.99333334
30,1,1400,0.99333334
30,1,1450,0.99333334
30,1,1500,0.99333334
30,1,1550,0.99333334
30,1,1600,0.99333334
30,1,1650,0.99333334
30,1,1700,0.99333334
30,1,1750,0.99333334
30,1,1800,0.99333334
30,1,1850,0.99333334
30,1,1900,1
30,1,1950,1
30,1,2000,1
30,1,2050,1
30,1,2100,1
30,1,2150,1
30,1,2200,1
30,1,2250,1
30,1,2300,1
30,1,2350,1
30,1,2400,1
30,1,2450,1
30,1,2500,1
30,1,2550,1
30,1,2600,1
