max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,0,10,116,7,1.2931035,3.5714285,0.48725715,125,1,56,44,50,1,1,1
30,0,20,117,4,1.2820513,4,0.42838106,134,1,56,44,50,1,1,1
30,0,30,115,5,1.3043479,3.4,0.37147284,133,1,56,44,50,1,1,1
30,0,40,115,6,1.3043479,3.6666667,0.47673607,128,1,56,44,50,1,1,1
30,0,50,110,9,1.3636364,3.5555556,0.6005009,118,1,56,44,50,1,1,1
30,0,60,108,9,1.3888888,3.6666667,0.6510908,117,1,56,44,50,1,1,1
30,0,70,98,11,1.5306122,4.090909,1.2619386,105,1,56,44,50,1,1,1
30,0,80,92,16,1.6304348,3.8125,1.3564253,89,1,56,44,50,1,1,1
30,0,90,93,14,1.6129032,3.9285715,1.2398304,95,1,56,44,50,1,1,1
30,0,100,86,17,1.744186,4.0588236,2.3808517,81,1,56,44,50,1,1,1
30,0,110,85,16,1.7647059,4.1875,2.3249316,83,1,56,44,50,1,1,1
30,0,120,85,14,1.7647059,4.642857,3.6582642,85,1,56,44,50,1,1,1
30,0,130,76,13,1.9736842,5.4615383,5.2792993,79,1,56,44,50,1,1,1
30,0,140,71,14,2.1126761,5.642857,10.64426,71,1,56,44,50,1,1,1
30,0,150,66,16,2.2727273,5.75,12.047541,58,1,56,44,50,1,1,1
30,0,160,69,15,2.173913,5.6,11.73401,66,1,56,44,50,1,1,1
30,0,170,71,14,2.1126761,5.785714,6.815687,69,1,56,44,50,1,1,1
30,0,180,69,14,2.173913,6.214286,13.145772,63,1,56,44,50,1,1,1
30,0,190,67,14,2.238806,6.071429,13.275454,65,1,56,44,50,1,1,1
30,0,200,68,17,2.2058823,5,4.5241475,65,1,56,44,50,1,1,1
30,0,210,69,17,2.173913,4.7647057,3.4693081,69,1,56,44,50,1,1,1
30,0,220,75,19,2,4.263158,2.3783784,69,1,56,44,50,1,1,1
30,0,230,74,22,2.0270271,4.0454545,2.1636417,61,1,56,44,50,1,1,1
30,0,240,79,19,1.8987342,4.0526314,2.092178,73,1,56,44,50,1,1,1
30,0,250,76,21,1.9736842,4,2.5859637,66,1,56,44,50,1,1,1
30,0,260,67,20,2.238806,4.7,4.184531,56,1,56,44,50,1,1,1
30,0,270,64,17,2.34375,5.4117646,5.530754,58,1,56,44,50,1,1,1
30,0,280,61,14,2.4590163,6.5,12.085788,59,1,56,44,50,1,1,1
30,0,290,59,17,2.542373,5.8235292,12.976621,51,1,56,44,50,1,1,1
30,0,300,61,16,2.4590163,6.0625,10.985789,53,1,56,44,50,1,1,1
30,0,310,61,18,2.4590163,5.5555553,10.652455,50,1,56,44,50,1,1,1
30,0,320,57,14,2.631579,7,16.73684,52,1,56,44,50,1,1,1
30,0,330,48,12,3.125,8.916667,32.494682,43,1,56,44,50,1,1,1
30,0,340,51,13,2.9411764,7.8461537,24.376484,48,1,56,44,50,1,1,1
30,0,350,45,15,3.3333333,7.3333335,51.999954,40,1,56,44,50,1,1,1
30,0,360,54,16,2.7777777,6.3125,15.949695,49,1,56,44,50,1,1,1
30,0,370,54,15,2.7777777,6.8,19.044035,48,1,56,44,50,1,1,1
30,0,380,58,18,2.586207,5.6666665,7.159105,48,1,56,44,50,1,1,1
30,0,390,62,17,2.419355,5.7058825,6.0507627,53,1,56,44,50,1,1,1
30,0,400,60,18,2.5,5.5555553,6.0508475,50,1,56,44,50,1,1,1
30,0,410,55,16,2.7272727,6.4375,8.720533,47,1,56,44,50,1,1,1
30,0,420,55,17,2.7272727,5.9411764,14.868685,49,1,56,44,50,1,1,1
30,0,430,55,12,2.7272727,7.8333335,16.424238,56,1,56,44,50,1,1,1
30,0,440,57,14,2.631579,6.714286,13.201119,56,1,56,44,50,1,1,1
30,0,450,50,15,3,7.0666666,17.469387,44,1,56,44,50,1,1,1
30,0,460,51,15,2.9411764,6.866667,16.056479,47,1,56,44,50,1,1,1
30,0,470,50,15,3,6.8,12.571428,48,1,56,44,50,1,1,1
30,0,480,49,15,3.0612245,7,15.392016,45,1,56,44,50,1,1,1
30,0,490,48,15,3.125,7.266667,19.345745,41,1,56,44,50,1,1,1
30,0,500,49,15,3.0612245,7.0666666,14.017017,44,1,56,44,50,1,1,1
30,0,510,49,17,3.0612245,6.470588,10.808678,40,1,56,44,50,1,1,1
30,0,520,47,14,3.1914895,7.857143,17.419044,40,1,56,44,50,1,1,1
30,0,530,48,13,3.125,8.307693,23.132978,42,1,56,44,50,1,1,1
30,0,540,47,17,3.1914895,6.5882354,14.419046,38,1,56,44,50,1,1,1
