max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,0,10,106,9,1.4150944,4.2222223,1.0070076,112,0.99333334,48,48,53,1,1,0.9814815
30,0,20,116,6,1.2931035,3.1666667,0.34812632,131,0.99333334,48,48,53,1,1,0.9814815
30,0,30,110,6,1.3636364,3.8333333,0.6371982,127,0.99333334,48,48,53,1,1,0.9814815
30,0,40,107,7,1.4018692,3.5714285,0.5822609,125,1,48,48,54,1,1,1
30,0,50,104,8,1.4423077,4,0.83158904,118,1,48,48,54,1,1,1
30,0,60,105,9,1.4285715,3.5555556,0.6510983,118,1,48,48,54,1,1,1
30,0,70,95,13,1.5789474,3.5384614,0.863382,104,1,48,48,54,1,1,1
30,0,80,95,15,1.5789474,3.7333333,1.3740212,94,1,48,48,54,1,1,1
30,0,90,88,13,1.7045455,4.076923,1.4059559,97,1,48,48,54,1,1,1
30,0,100,88,12,1.7045455,4.0833335,1.1990595,101,1,48,48,54,1,1,1
30,0,110,87,15,1.7241379,3.8,1.3881322,93,1,48,48,54,1,1,1
30,0,120,80,14,1.875,4.571429,2.920886,86,1,48,48,54,1,1,1
30,0,130,80,18,1.875,4.111111,2.4398735,76,1,48,48,54,1,1,1
30,0,140,76,15,1.9736842,5.2,7.9726286,72,1,48,48,54,1,1,1
30,0,150,70,18,2.142857,4.888889,4.9358187,62,1,48,48,54,1,1,1
30,0,160,74,15,2.0270271,5.3333335,6.3280234,70,1,48,48,54,1,1,1
30,0,170,65,13,2.3076923,6.6923075,16.34136,63,1,48,48,54,1,1,1
30,0,180,61,11,2.4590163,7.909091,16.585789,63,1,48,48,54,1,1,1
30,0,190,59,12,2.542373,7.8333335,31.493864,56,1,48,48,54,1,1,1
30,0,200,61,15,2.4590163,6.3333335,14.785789,55,1,48,48,54,1,1,1
