update algorithm,max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
m1,30,0,50,92,13,1.6304348,4.230769,1.6201613,95,0.94666666,51,50,41,1,0.9433962,0.8913044
m1,30,0,100,83,13,1.8072289,5,3.5965283,85,0.9533333,51,51,41,1,0.9622642,0.8913044
m1,30,0,150,86,15,1.744186,3.7333333,1.298494,94,0.96,51,51,42,1,0.9622642,0.9130435
m1,30,0,200,67,16,2.238806,5.25,5.2754416,66,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,250,66,14,2.2727273,6.285714,9.739847,62,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,300,53,14,2.8301888,7.285714,15.836002,48,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,350,51,17,2.9411764,6.470588,19.136478,40,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,400,44,17,3.409091,6.882353,16.945028,33,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,450,43,14,3.488372,8.285714,23.779642,34,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,500,40,16,3.75,7.375,16.346153,32,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,550,38,15,3.9473684,7.866667,46.105267,32,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,600,48,18,3.125,6.111111,11.898936,40,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,650,41,18,3.6585367,6.5555553,19.430477,32,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,700,40,17,3.75,7.0588236,20.038462,30,0.96666664,51,52,42,1,0.9811321,0.9130435
m1,30,0,750,49,20,3.0612245,5.5,9.558676,40,0.97333336,51,52,43,1,0.9811321,0.9347826
m1,30,0,800,42,16,3.5714285,7,25.860628,38,0.97333336,51,52,43,1,0.9811321,0.9347826
